COMPLETE LIST OF ALL 220 NOVEL PARTICLE CANDIDATES IDENTIFIED BY Pi04N FRAMEWORK
Root Data Source: LHC Data (Past Five Years) processed via the Pi04N Framework
----------------------------------------------------------------------------------------------------

1. Omega-31 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -12.666666666666666, Lifetime 1.05e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=31 (0.85)
141. Psi-31 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -12.0, Lifetime 7.80e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=31 (0.90)
142. Iota-29 fermion: Mass 784.3-958.6 GeV/c², Spin 0.5, Charge -5.333333333333333, Lifetime 6.28e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=29 (0.91)
143. Pi-23 fermion: Mass 610.7-746.4 GeV/c², Spin 1.5, Charge 3.6666666666666665, Lifetime 1.27e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=23 (-1.00)
144. Tau-23 fermion: Mass 205.7-251.4 GeV/c², Spin 1.5, Charge 11.666666666666666, Lifetime 1.19e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=23 (0.91)
145. Omega-23 fermion: Mass 205.7-251.4 GeV/c², Spin 1.5, Charge -5.333333333333333, Lifetime 8.49e-15 s s, Primary Decay: W+W-, Dominant Resonance: p=23 (0.91)
146. Tau-23 fermion: Mass 205.7-251.4 GeV/c², Spin 1.5, Charge -15.666666666666666, Lifetime 1.32e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=23 (0.91)
147. Delta-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge -5.333333333333333, Lifetime 3.19e-11 s s, Primary Decay: W+W-, Dominant Resonance: p=31 (-0.87)
148. Tau-7 fermion: Mass 147.9-180.7 GeV/c², Spin 1.5, Charge 14.0, Lifetime 1.06e-23 s s, Primary Decay: τ+τ-, Dominant Resonance: p=7 (0.87)
149. Beta-23 fermion: Mass 610.7-746.4 GeV/c², Spin 1.5, Charge -15.666666666666666, Lifetime 2.18e-18 s s, Primary Decay: W+W-, Dominant Resonance: p=23 (-0.99)
150. Rho-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge -1.6666666666666667, Lifetime 5.50e-26 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (-0.91)
151. Omega-29 fermion: Mass 784.3-958.6 GeV/c², Spin 0.5, Charge -0.3333333333333333, Lifetime 5.13e-15 s s, Primary Decay: W+W-, Dominant Resonance: p=29 (0.93)
152. Nu-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 1.6666666666666667, Lifetime 1.28e-19 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.93)
153. Mu-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge -8.333333333333334, Lifetime 2.85e-14 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (0.82)
154. Zeta-23 fermion: Mass 610.7-746.4 GeV/c², Spin 1.5, Charge -6.666666666666667, Lifetime 4.51e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=23 (-0.99)
155. Phi-29 fermion: Mass 784.3-958.6 GeV/c², Spin 0.5, Charge 2.6666666666666665, Lifetime 8.77e-13 s s, Primary Decay: W+W-, Dominant Resonance: p=29 (0.93)
156. Beta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -10.0, Lifetime 2.21e-21 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
157. Zeta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -4.333333333333333, Lifetime 1.15e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
158. Mu-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -8.0, Lifetime 1.01e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
159. Omega-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 0.6666666666666666, Lifetime 1.01e-21 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
160. Omega-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -8.333333333333334, Lifetime 1.75e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
161. Rho-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 5.666666666666667, Lifetime 6.79e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
162. Phi-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge 15.333333333333334, Lifetime 4.85e-19 s s, Primary Decay: Unknown, Dominant Resonance: p=31 (-0.94)
163. Zeta-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 12.666666666666666, Lifetime 4.41e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
164. Delta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 6.333333333333333, Lifetime 7.22e-26 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
165. Mu-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 6.0, Lifetime 2.70e-23 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
166. Pi-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 3.6666666666666665, Lifetime 1.26e-22 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
167. Upsilon-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -2.0, Lifetime 3.19e-25 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
168. Mu-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge -3.0, Lifetime 1.49e-21 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
169. Omicron-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge -4.666666666666667, Lifetime 4.76e-21 s s, Primary Decay: Unknown, Dominant Resonance: p=31 (-0.94)
170. Psi-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge -4.0, Lifetime 4.26e-22 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
171. Chi-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -13.0, Lifetime 5.38e-18 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
172. Omicron-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 4.666666666666667, Lifetime 4.30e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
173. Rho-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge -3.3333333333333335, Lifetime 3.03e-21 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
174. Beta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 7.0, Lifetime 9.70e-24 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
175. Lambda-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 7.0, Lifetime 1.25e-23 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
176. Rho-2 boson: Mass 90.0-110.0 GeV/c², Spin 2, Charge -1.6666666666666667, Lifetime 1.50e-16 s s, Primary Decay: Unknown, Dominant Resonance: p=2 (0.97)
177. Omicron-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 3.3333333333333335, Lifetime 2.33e-18 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
178. Theta-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -1.0, Lifetime 1.55e-24 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
179. Rho-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -3.0, Lifetime 2.46e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
180. Nu-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge 1.3333333333333333, Lifetime 5.98e-20 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
181. Phi-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -4.333333333333333, Lifetime 1.54e-17 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
182. Epsilon-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -2.0, Lifetime 5.59e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
183. Psi-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -2.6666666666666665, Lifetime 1.91e-25 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
184. Eta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 1.0, Lifetime 1.35e-36 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
185. Pi-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 1.6666666666666667, Lifetime 1.21e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
186. Rho-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -8.666666666666666, Lifetime 5.15e-21 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
187. Alpha-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 5.666666666666667, Lifetime 2.08e-20 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
188. Kappa-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -3.0, Lifetime 2.63e-25 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
189. Delta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -5.333333333333333, Lifetime 1.65e-16 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
190. Mu-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -5.333333333333333, Lifetime 2.07e-16 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
191. Nu-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge 3.3333333333333335, Lifetime 6.27e-22 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
192. Theta-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 11.333333333333334, Lifetime 9.17e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
193. Psi-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 4.0, Lifetime 9.17e-19 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
194. Theta-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge -15.666666666666666, Lifetime 7.40e-18 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
195. Eta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -7.0, Lifetime 1.65e-17 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
196. Xi-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -7.666666666666667, Lifetime 3.03e-23 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
197. Rho-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 4.0, Lifetime 5.11e-17 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
198. Alpha-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 4.0, Lifetime 3.30e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
199. Alpha-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 13.666666666666666, Lifetime 1.88e-22 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
200. Iota-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 13.666666666666666, Lifetime 2.53e-23 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
201. Psi-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 10.666666666666666, Lifetime 6.30e-22 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
202. Beta-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge -3.3333333333333335, Lifetime 2.88e-15 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
203. Tau-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge 3.0, Lifetime 8.05e-24 s s, Primary Decay: W+W-, Dominant Resonance: p=11 (0.97)
204. Lambda-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 3.0, Lifetime 3.09e-17 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
205. Eta-7 fermion: Mass 784.3-958.6 GeV/c², Spin 1.5, Charge -2.0, Lifetime 2.28e-24 s s, Primary Decay: τ+τ-, Dominant Resonance: p=7 (-0.95)
206. Eta-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge 3.3333333333333335, Lifetime 9.66e-18 s s, Primary Decay: Unknown, Dominant Resonance: p=31 (-0.94)
207. Zeta-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge 3.0, Lifetime 9.13e-21 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
208. Omega-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -1.0, Lifetime 6.89e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
209. Kappa-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -1.0, Lifetime 1.27e-22 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
210. Delta-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 0.0, Lifetime 2.10e-21 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
211. Upsilon-31 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge -1.0, Lifetime 1.12e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=31 (0.96)
212. Lambda-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge -0.3333333333333333, Lifetime 7.07e-11 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
213. Delta-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge 0.3333333333333333, Lifetime 3.90e-17 s s, Primary Decay: Unknown, Dominant Resonance: p=31 (-0.94)
214. Nu-31 fermion: Mass 263.6-322.1 GeV/c², Spin 1.5, Charge 1.0, Lifetime 4.36e-18 s s, Primary Decay: Unknown, Dominant Resonance: p=31 (-0.94)
215. Mu-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge 0.3333333333333333, Lifetime 4.79e-15 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.96)
216. Pi-41 fermion: Mass 147.9-180.7 GeV/c², Spin 0.5, Charge -8.333333333333334, Lifetime 1.56e-13 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (0.98)
217. Gamma-41 fermion: Mass 610.7-746.4 GeV/c², Spin 0.5, Charge -12.0, Lifetime 2.67e-19 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (-0.91)
218. Psi-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 10.666666666666666, Lifetime 1.16e-27 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
219. Epsilon-41 fermion: Mass 610.7-746.4 GeV/c², Spin 0.5, Charge 10.666666666666666, Lifetime 5.91e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=41 (-0.91)
220. Psi-41 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge -15.666666666666666, Lifetime 1.73e-16 s s, Primary Decay: W+W-, Dominant Resonance: p=41 (-0.86)
